anime_id,title,title_english,title_synonyms,type,source,episodes,status,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,related,producer,licensor,studio,genre,duration_min,aired_from_year
14247,Lunn wa Kaze no Naka,,Lunn Flies into the Wind,OVA,Manga,1,Finished Airing,13-Apr-85,"{'from': '1985-04-13', 'to': '1985-04-13'}",24 min.,G - All Ages,6.17,277,6872,9273,574,0,,,"{'Adaptation': [{'mal_id': 27743, 'type': 'manga', 'url': 'https://myanimelist.net/manga/27743/Lion_Books', 'title': 'Lion Books'}], 'Other': [{'mal_id': 6462, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6462/Amefuri_Kozou', 'title': 'Amefuri Kozou'}, {'mal_id': 8181, 'type': 'anime', 'url': 'https://myanimelist.net/anime/8181/Adachi-ga_Hara', 'title': 'Adachi-ga Hara'}, {'mal_id': 11537, 'type': 'anime', 'url': 'https://myanimelist.net/anime/11537/Yamatarou_Kaeru', 'title': 'Yamatarou Kaeru'}, {'mal_id': 11799, 'type': 'anime', 'url': 'https://myanimelist.net/anime/11799/Midori_no_Neko', 'title': 'Midori no Neko'}, {'mal_id': 14231, 'type': 'anime', 'url': 'https://myanimelist.net/anime/14231/Akuemon', 'title': 'Akuemon'}]}",,,Tezuka Productions,"Drama, Romance",24,1985
14277,Chitose Get You!!,,,TV,4-koma manga,26,Finished Airing,"Jul 2, 2012 to Dec 24, 2012","{'from': '2012-07-02', 'to': '2012-12-24'}",3 min. per ep.,PG-13 - Teens 13 or older,6.37,6738,6109,3067,15005,11,Summer 2012,Unknown,"{'Adaptation': [{'mal_id': 35755, 'type': 'manga', 'url': 'https://myanimelist.net/manga/35755/Chitose_Get_You', 'title': 'Chitose Get You!!'}], 'Side story': [{'mal_id': 16319, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16319/Asako_Get_You', 'title': 'Asako Get You!!'}]}","AT-X, Takeshobo, Dream Creation",,Silver Link.,"Comedy, Romance, School, Seinen, Slice of Life",3,2012
14289,Sukitte Ii na yo.,"Say ""I Love You"".","Suki-tte Ii na yo., Sukinayo",TV,Manga,13,Finished Airing,"Oct 7, 2012 to Dec 30, 2012","{'from': '2012-10-07', 'to': '2012-12-30'}",24 min. per ep.,PG-13 - Teens 13 or older,7.67,179181,1177,192,313467,3479,Fall 2012,Unknown,"{'Adaptation': [{'mal_id': 11767, 'type': 'manga', 'url': 'https://myanimelist.net/manga/11767/Suki_tte_Ii_na_yo', 'title': 'Suki tte Ii na yo.'}], 'Sequel': [{'mal_id': 16868, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16868/Sukitte_Ii_na_yo__Dareka_ga', 'title': 'Sukitte Ii na yo.: Dareka ga'}], 'Side story': [{'mal_id': 17409, 'type': 'anime', 'url': 'https://myanimelist.net/anime/17409/Sukitte_Ii_na_yo__Mei_and_Marshmallow', 'title': 'Sukitte Ii na yo.: Mei and Marshmallow'}]}","Starchild Records, Kodansha, Magic Capsule, Yomiuri Advertising, GANSIS",Sentai Filmworks,Zexcs,"Drama, Romance, School, Shoujo",24,2012
14293,Nerawareta Gakuen,Psychic School Wars,,Movie,Novel,1,Finished Airing,19-Oct-12,"{'from': '2012-10-19', 'to': '2012-10-19'}",1 hr. 46 min.,PG-13 - Teens 13 or older,7.18,26191,2896,1360,59767,148,,,"{'Adaptation': [{'mal_id': 54799, 'type': 'manga', 'url': 'https://myanimelist.net/manga/54799/Nerawareta_Gakuen', 'title': 'Nerawareta Gakuen'}]}","Aniplex, Shochiku, Sony Music Entertainment, Bandai Namco Entertainment","Funimation, NYAV Post",Sunrise,"Sci-Fi, Romance, School",106,2012
14317,Computer Kakumei: Saikyou x Saisoku no Zunou Tanjou,,Computer Revolution: The Birth of the Most Powerful and Fastest Brains,Special,Original,1,Finished Airing,3-Jun-12,"{'from': '2012-06-03', 'to': '2012-06-03'}",10 min.,PG-13 - Teens 13 or older,6.55,3363,5400,4622,5725,4,,,[],,,Production I.G,Sci-Fi,10,2012
14345,Btooom!,BTOOOM!,,TV,Manga,12,Finished Airing,"Oct 4, 2012 to Dec 20, 2012","{'from': '2012-10-04', 'to': '2012-12-20'}",24 min. per ep.,R - 17+ (violence & profanity),7.59,273599,1371,94,461700,2899,Fall 2012,Thursdays at 23:00 (JST),"{'Adaptation': [{'mal_id': 20593, 'type': 'manga', 'url': 'https://myanimelist.net/manga/20593/Btooom', 'title': 'Btooom!'}]}","Sotsu, KlockWorx, flying DOG, Showgate",Sentai Filmworks,Madhouse,"Action, Sci-Fi, Psychological, Seinen",24,2012
14347,Ryo,,"Wakate Animator Ikusei Project, 2012 Young Animator Training Project, Anime Mirai 2012",Movie,Original,1,Finished Airing,2-Mar-13,"{'from': '2013-03-02', 'to': '2013-03-02'}",25 min.,PG-13 - Teens 13 or older,5.95,5056,7468,3691,9918,5,,,"{'Other': [{'mal_id': 13863, 'type': 'anime', 'url': 'https://myanimelist.net/anime/13863/Arve_Rezzle__Kikaijikake_no_Yousei-tachi', 'title': 'Arve Rezzle: Kikaijikake no Yousei-tachi'}, {'mal_id': 14349, 'type': 'anime', 'url': 'https://myanimelist.net/anime/14349/Little_Witch_Academia', 'title': 'Little Witch Academia'}, {'mal_id': 14353, 'type': 'anime', 'url': 'https://myanimelist.net/anime/14353/Death_Billiards', 'title': 'Death Billiards'}]}",,,Gonzo,"Action, Samurai, Historical, Drama",25,2013
14349,Little Witch Academia,,"Wakate Animator Ikusei Project, 2012 Young Animator Training Project, Anime Mirai 2012, LWA",Movie,Original,1,Finished Airing,2-Mar-13,"{'from': '2013-03-02', 'to': '2013-03-02'}",26 min.,PG-13 - Teens 13 or older,7.96,110808,601,412,185095,1020,,,"{'Adaptation': [{'mal_id': 93692, 'type': 'manga', 'url': 'https://myanimelist.net/manga/93692/Little_Witch_Academia', 'title': 'Little Witch Academia'}], 'Sequel': [{'mal_id': 19489, 'type': 'anime', 'url': 'https://myanimelist.net/anime/19489/Little_Witch_Academia__Mahoujikake_no_Parade', 'title': 'Little Witch Academia: Mahoujikake no Parade'}], 'Alternative version': [{'mal_id': 33489, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33489/Little_Witch_Academia_TV', 'title': 'Little Witch Academia (TV)'}]}","Half H.P Studio, Ultra Super Pictures",,Trigger,"Adventure, Comedy, Fantasy, Magic, School",26,2013
14353,Death Billiards,Death Billiards,"Wakate Animator Ikusei Project, 2012 Young Animator Training Project, Anime Mirai 2012",Movie,Original,1,Finished Airing,2-Mar-13,"{'from': '2013-03-02', 'to': '2013-03-02'}",25 min.,R - 17+ (violence & profanity),8.01,81162,542,637,132203,226,,,"{'Other': [{'mal_id': 13863, 'type': 'anime', 'url': 'https://myanimelist.net/anime/13863/Arve_Rezzle__Kikaijikake_no_Yousei-tachi', 'title': 'Arve Rezzle: Kikaijikake no Yousei-tachi'}, {'mal_id': 14347, 'type': 'anime', 'url': 'https://myanimelist.net/anime/14347/Ryo', 'title': 'Ryo'}, {'mal_id': 14349, 'type': 'anime', 'url': 'https://myanimelist.net/anime/14349/Little_Witch_Academia', 'title': 'Little Witch Academia'}], 'Alternative version': [{'mal_id': 28223, 'type': 'anime', 'url': 'https://myanimelist.net/anime/28223/Death_Parade', 'title': 'Death Parade'}]}",,Funimation,Madhouse,"Game, Mystery, Psychological, Drama, Thriller",25,2013
14355,Yama no Susume,Encouragement of Climb,,TV,Manga,12,Finished Airing,"Jan 3, 2013 to Mar 21, 2013","{'from': '2013-01-03', 'to': '2013-03-21'}",3 min. per ep.,G - All Ages,6.82,14762,4256,1842,37639,65,Winter 2013,Thursdays at 01:30 (JST),"{'Adaptation': [{'mal_id': 41049, 'type': 'manga', 'url': 'https://myanimelist.net/manga/41049/Yama_no_Susume', 'title': 'Yama no Susume'}], 'Sequel': [{'mal_id': 17341, 'type': 'anime', 'url': 'https://myanimelist.net/anime/17341/Yama_no_Susume__Kabe_tte_Kowakunai_no', 'title': 'Yama no Susume: Kabe tte Kowakunai no?'}]}",Earth Star Entertainment,,8bit,"Adventure, Slice of Life, Comedy",3,2013
14397,Chihayafuru 2,,Chihayafull 2,TV,Manga,25,Finished Airing,"Jan 12, 2013 to Jun 29, 2013","{'from': '2013-01-12', 'to': '2013-06-29'}",22 min. per ep.,PG-13 - Teens 13 or older,8.47,62720,116,757,114340,1116,Winter 2013,Unknown,"{'Adaptation': [{'mal_id': 13245, 'type': 'manga', 'url': 'https://myanimelist.net/manga/13245/Chihayafuru', 'title': 'Chihayafuru'}], 'Prequel': [{'mal_id': 10800, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10800/Chihayafuru', 'title': 'Chihayafuru'}], 'Sequel': [{'mal_id': 18745, 'type': 'anime', 'url': 'https://myanimelist.net/anime/18745/Chihayafuru_2__Waga_Mi_Yo_ni_Furu_Nagame_Seshi_Ma_ni', 'title': 'Chihayafuru 2: Waga Mi Yo ni Furu Nagame Seshi Ma ni'}]}","VAP, Nippon Television Network",Sentai Filmworks,Madhouse,"Drama, Game, Josei, School, Slice of Life, Sports",22,2013
